"n","uc_y1_1990","uc_y1_2019","uc_y10_1990","uc_y10_2019","arbreak_y1_1990","arbreak_y1_2019","arbreak_y10_1990","arbreak_y10_2019","arlearn_y1_1990","arlearn_y1_2019","arlearn_y10_1990","arlearn_y10_2019"
169,1.31644384995815,0.80209553914342,1.76103503176687,0.919725616722438,2.42449526929144,0.765320730284556,3.06344923221672,1.60993880096026,2.53724428954126,1.26220502249054,3.3775964664504,2.00506611997946
170,1.31253083782863,0.800109682372244,1.75472666185041,0.917086736943045,2.42241776048395,0.76428582476763,3.05732607510512,1.60823958410099,2.53512249339821,1.26131052032207,3.37207943032224,2.00284833011885
171,1.30862442457824,0.798141024200091,1.74847398928456,0.914451697174491,2.42047080702799,0.763242148106629,3.05107319418726,1.60655925289511,2.53307475222179,1.26041269708993,3.36642316273339,2.00065537876335
172,1.3047344033403,0.79618461208233,1.74221955233979,0.911823541585188,2.41847353587765,0.762198928885234,3.04483444421536,1.60486303455895,2.5309809346004,1.25949233998685,3.36060719952571,1.99846593139658
173,1.30088298128707,0.794235516634862,1.73597933368594,0.909211467337639,2.41644382738351,0.76114223567554,3.03846435842666,1.60317961229303,2.52896214498751,1.25854813070125,3.35479533135452,1.99632202601659
174,1.29705811858519,0.792298167413663,1.72983901235167,0.906632133992797,2.41437466364204,0.760103510207162,3.03217671734,1.60151518494899,2.52690758469154,1.25763152933563,3.34904481301854,1.99414967547089
175,1.29323229485166,0.790348672201723,1.72370898171085,0.904036919249255,2.41233540763094,0.759056442117669,3.02588924359263,1.59982002798008,2.52486144187541,1.25673630799087,3.34313528440185,1.99200327104205
176,1.28945116457253,0.78840209213204,1.71765810656702,0.901464394932195,2.41028470538269,0.758051892108639,3.01942557788901,1.59815909699412,2.5228193880888,1.25583368493424,3.33715320722393,1.98984692872662
177,1.28570237434771,0.786453643418876,1.71168951562944,0.898909442179646,2.4082655905106,0.757044762893066,3.01299976523377,1.59649616337186,2.52073681068785,1.2549610006527,3.33110616452574,1.98767113081492
178,1.28195309837731,0.784517498018448,1.7056810115027,0.896356095342455,2.40630007011044,0.756041471632073,3.00656384749549,1.59480020173051,2.51861256243892,1.25407891427719,3.32500499623917,1.98552810174172
179,1.2782305241412,0.782581760003708,1.69973962175265,0.893801074209235,2.40443244638722,0.755000017696754,3.0002337586082,1.59310364725258,2.5164889951507,1.25321674470522,3.31896287783231,1.98339107049404
180,1.27454993250142,0.780654307705932,1.69382378336498,0.89126368991973,2.40253423325377,0.753964648017167,2.99378522658926,1.59141293440814,2.51436993495642,1.25235490456546,3.31274835739797,1.98127334598223
181,1.27091197543415,0.778742970694806,1.68792712012553,0.888756074551274,2.40047041238332,0.752950751655453,2.98730219832151,1.58979997527309,2.51226066909302,1.25152014371168,3.3063714177851,1.97914144853413
182,1.26723942572621,0.776845078162026,1.68205326517177,0.88626365580734,2.39837336751362,0.751940221235154,2.98081024012382,1.58817428442433,2.51001519073791,1.25067679628263,3.30001932071578,1.97695205651877
183,1.26358151270947,0.774951915805269,1.67620906656116,0.883781006585134,2.39636028469018,0.750934466999881,2.97435368390126,1.58654287337588,2.50783069141923,1.24983074917093,3.2936351411158,1.97477669908319
184,1.25990214750822,0.773085544235498,1.6703550207436,0.881325282973099,2.39427704287692,0.749948999555622,2.96785662891829,1.58486801430516,2.50567636543447,1.24900549630352,3.28725347961947,1.97260468111204
