date,mpu10
9/30/1992,1.326102559
10/1/1992,1.299513191
10/2/1992,1.312068391
10/5/1992,1.331616612
10/6/1992,1.369848598
10/7/1992,1.406846312
10/8/1992,1.388275003
10/9/1992,1.482404685
10/12/1992,1.491662924
10/13/1992,1.502124165
10/14/1992,1.517932198
10/15/1992,1.498367796
10/16/1992,1.467251761
10/19/1992,1.505017317
10/20/1992,1.636921962
10/21/1992,1.608591006
10/22/1992,1.60483618
10/23/1992,1.640789163
10/26/1992,1.668141183
10/27/1992,1.647982609
10/28/1992,1.650849813
10/29/1992,1.589660978
10/30/1992,1.607043291
11/2/1992,1.61741386
11/3/1992,1.60425365
11/4/1992,1.495997576
11/5/1992,1.500569581
11/6/1992,1.484005363
11/9/1992,1.507474544
11/10/1992,1.487548908
11/11/1992,1.485223788
11/12/1992,1.488124376
11/13/1992,1.503793094
11/16/1992,1.607517197
11/17/1992,1.616781519
11/18/1992,1.609875648
11/19/1992,1.606034426
11/20/1992,1.634805031
11/23/1992,1.646291497
11/24/1992,1.628269634
11/25/1992,1.642820671
11/27/1992,1.696165697
11/30/1992,1.703774526
12/1/1992,1.679247193
12/2/1992,1.655460382
12/3/1992,1.630080031
12/4/1992,1.553099855
12/7/1992,1.52759724
12/8/1992,1.525204831
12/9/1992,1.535350404
12/10/1992,1.524209986
12/11/1992,1.518372032
12/14/1992,1.54039437
12/15/1992,1.518280429
12/16/1992,1.500457178
12/17/1992,1.507550756
12/18/1992,1.489717079
12/21/1992,1.466394492
12/22/1992,1.460560107
12/23/1992,1.470258749
12/24/1992,1.466412901
12/28/1992,1.467814384
12/29/1992,1.478217529
12/30/1992,1.503298399
12/31/1992,1.531156435
1/4/1993,1.542025994
1/5/1993,1.574885511
1/6/1993,1.553345679
1/7/1993,1.551303841
1/8/1993,1.485882007
1/11/1993,1.489892782
1/12/1993,1.483227094
1/13/1993,1.480462902
1/14/1993,1.459512273
1/15/1993,1.464607986
1/18/1993,1.472107394
1/19/1993,1.486688121
1/20/1993,1.462636374
1/21/1993,1.435385715
1/22/1993,1.410570692
1/25/1993,1.413120756
1/26/1993,1.424582401
1/27/1993,1.365755274
1/28/1993,1.349827517
1/29/1993,1.33862935
2/1/1993,1.334927181
2/2/1993,1.322988097
2/3/1993,1.309978493
2/4/1993,1.287687296
2/5/1993,1.195303322
2/8/1993,1.234045368
2/9/1993,1.283607439
2/10/1993,1.334736489
2/11/1993,1.30677537
2/12/1993,1.310119147
2/16/1993,1.307685624
2/17/1993,1.280964793
2/18/1993,1.246024767
2/19/1993,1.243043737
2/22/1993,1.243993708
2/23/1993,1.218414435
2/24/1993,1.248244009
2/25/1993,1.252808481
2/26/1993,1.219158656
3/1/1993,1.199175357
3/2/1993,1.206768004
3/3/1993,1.204451972
3/4/1993,1.214312145
3/5/1993,1.305957897
3/8/1993,1.315952642
3/9/1993,1.333896003
3/10/1993,1.284962972
3/11/1993,1.222945076
3/12/1993,1.268928996
3/15/1993,1.271360364
3/16/1993,1.23236301
3/17/1993,1.22370445
3/18/1993,1.218017147
3/19/1993,1.231920756
3/22/1993,1.229868453
3/23/1993,1.189925414
3/24/1993,1.176425595
3/25/1993,1.138618059
3/26/1993,1.172211389
3/29/1993,1.166414451
3/30/1993,1.174847407
3/31/1993,1.187953683
4/1/1993,1.159642081
4/2/1993,1.117683948
4/5/1993,1.087052445
4/6/1993,1.009453303
4/7/1993,1.01618805
4/8/1993,0.978360802
4/12/1993,0.969123682
4/13/1993,0.978619017
4/14/1993,0.991492232
4/15/1993,0.993587689
4/16/1993,0.941600373
4/19/1993,0.950942073
4/20/1993,0.93032268
4/21/1993,0.888574827
4/22/1993,0.868709394
4/23/1993,0.877554292
4/26/1993,0.891518187
4/27/1993,0.91280146
